,Dataset,N,K,Rep,Model,maxgenomelen,maxcohortlen,X_bounds,valsize,mutprob,init_prop,gramfile,n_num_optimisations,prop_consts,Time,Rsq_train,Rsq_test,Size,N_vars_used,N_consts_used,Equation
22,659_sleuth_ex1714,47,7,1,Magpie,50,8,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,140.72823882102966,0.540154674382984,0.4032478264908835,7,1,1,(4083.0325 * sqrt(X[5]))
23,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,76.67021059989929,0.8767944292501216,0.8358873624125347,29,3,3,(((-0.0026 * (X[5] / (0.0311 + (X[2] / -4842.5907)))) - sqrt(sqrt(sqrt(X[0])))) * -4842.5907)
24,659_sleuth_ex1714,47,7,2,Magpie,50,8,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,147.01532435417175,0.5556892936599747,0.3961732943933854,7,1,1,(sqrt(X[5]) * 4179.6088)
25,659_sleuth_ex1714,47,7,1,Magpie,50,8,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,155.04397010803223,0.887385045752179,0.7139706877761312,47,3,5,((sqrt(sqrt(sqrt(X[6]))) - -9622.3230) + ((-28181.3210 / (((X[5] - (X[6] - X[1])) - 43.7806) * 3.0529)) * ((-5.2865 * sqrt(sqrt(X[6]))) + X[5])))
26,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.25,0.6,0.12,base_placeholders.bnf,3,0.75,155.7020468711853,0.2709942960451245,0.3931535432760848,9,1,1,(14525.4361 / sqrt(sqrt(sqrt(X[1]))))
27,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.0,1.0,0.12,base_placeholders.bnf,3,0.75,88.56414771080017,0.8725946581079194,0.8503798832838905,28,2,4,(4409.8359 - ((sqrt(X[5]) * -3154.7601) + (-13016.0088 / (X[5] + (-11.1809 - sqrt(X[0]))))))
28,659_sleuth_ex1714,47,7,0,Magpie,50,8,none,0.0,0.6,0.12,base_placeholders.bnf,3,0.75,160.7556791305542,0.919155380624185,0.8633347624302159,48,4,5,(((sqrt(X[5]) * 16.8897) * (112.4139 + (((X[0] - (X[4] / sqrt(X[2]))) - ((-3.5386 / (X[5] - 15.2521)) * X[2])) - -3.5386))) - -5286.8542)
29,659_sleuth_ex1714,47,7,1,Magpie,30,15,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,90.04587125778198,0.5401546750148121,0.4032478266072706,7,1,1,(sqrt(X[5]) * 4083.0326)
30,659_sleuth_ex1714,47,7,0,Magpie,30,15,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,97.00601553916933,0.8452908078428113,0.782312564262354,20,3,2,(9362.4240 - ((-93.9203 * (X[5] - sqrt(X[1]))) * sqrt(X[2])))
31,659_sleuth_ex1714,47,7,2,Magpie,30,15,none,0.25,1.0,0.12,base_placeholders.bnf,3,0.75,96.08319354057312,0.5556892940061846,0.3961732935516077,7,1,1,(4179.6088 * sqrt(X[5]))
